epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.863045132112503,0.953620795569668,0.6106,0.630057803468208,0.3818726655792332,0.42021859761224145
2,0.6516854924201966,0.8307165541400799,0.7506,0.6791907514450867,0.5164634874605701,0.4965292932797487
3,0.5463407605171203,0.8594756673353945,0.7954,0.6878612716763006,0.592062277280268,0.5319660976923668
4,0.4694484173536301,0.8105363521961807,0.8306,0.7066473988439307,0.686902079886508,0.5825010862978023
5,0.3890349846124649,0.8767010512293418,0.8666,0.7138728323699421,0.7770982813130742,0.5877617075449574
6,0.31449439804553986,0.9053145769359059,0.8934,0.7066473988439307,0.8319854446706004,0.5979556798201586
7,0.24241812514662742,1.0153126666010115,0.9206,0.7023121387283237,0.8768680553682836,0.5789410874664124
