epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.0877042565345765,1.122874895616763,0.44975,0.5375722543352601,0.3207374882950669,0.3990143535893049
2,0.9284493767023086,1.0894372139362931,0.69175,0.6141618497109826,0.4880962482284894,0.49302531932622434
3,0.7318260238766671,0.951471779646212,0.7415,0.6170520231213873,0.6064658124851777,0.5485346802482008
4,0.548412217617035,1.1389414106490294,0.783,0.6257225433526011,0.6769952115641024,0.5629065660202827
5,0.41637381809949875,1.143632945642306,0.833,0.6228323699421965,0.7446923187392088,0.5715905793830547
6,0.3020415512919426,1.3019882840228219,0.87125,0.6560693641618497,0.7999250944911047,0.5909726943466517
