epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.0985182778040568,1.0981135864478315,0.345,0.33815028901734107,0.3259252591627684,0.3359428131349071
2,1.0459323581059774,1.0776611470073634,0.5066666666666667,0.3930635838150289,0.5015849330809542,0.3775199429898328
3,0.939147276878357,0.9958043990796701,0.6175,0.49277456647398843,0.6151465620032969,0.450785988862559
4,0.7721901245911916,0.9580146673786847,0.6916666666666667,0.541907514450867,0.6909630781619507,0.5054562655116426
5,0.5851669188340505,0.999123307321802,0.7841666666666667,0.5549132947976878,0.7841889759653672,0.5198669859994699
6,0.42997694740692777,0.9670574968260837,0.8466666666666667,0.5823699421965318,0.8468370376611477,0.5276442324694847
7,0.30723148345947265,1.0707152475511408,0.9008333333333334,0.569364161849711,0.9008690549378123,0.5285149875029003
