epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.9166830239325063,0.8276979011951844,0.586251204625763,0.6791907514450867,0.401337777683019,0.4852084320515157
2,0.7309592880315808,0.7750121290456353,0.7099261162865403,0.6791907514450867,0.5448435610730197,0.5386625802176445
3,0.6204372138464677,0.789219897778737,0.7630902666238355,0.6719653179190751,0.6674676141593946,0.5881748788336089
4,0.5249879418405887,0.7599894226975523,0.8069386443944748,0.7023121387283237,0.7484940034578563,0.6334532943259076
5,0.4356749916991887,0.7729645028624231,0.8400256986829425,0.7023121387283237,0.7979866723300689,0.6334362646623664
6,0.352760738293783,0.8305856668191149,0.8731127529714102,0.7023121387283237,0.8433389325978027,0.637241414133925
7,0.28610885852437445,0.9044363872508783,0.9017025377449406,0.7023121387283237,0.8790758344201555,0.6335866252077546
