epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.8803201809989082,0.8717321400352985,0.5866666666666667,0.6416184971098265,0.5841830750632341,0.5829921742622745
2,0.4461679196755091,0.939531659545926,0.8386666666666667,0.653179190751445,0.8383643014996472,0.5805737473065947
3,0.2513918711410628,1.064854067292689,0.9172222222222223,0.6820809248554913,0.91696328627919,0.5961822030805168
4,0.14827035450935364,1.2972579234941846,0.9524444444444444,0.6907514450867052,0.952348987497301,0.5947733652000773
