No,Model,Strategi,Empiris Macro F1 (%),1:1:1 F1 (%),6:3:1 F1 (%),8:1:1 F1 (%),Empiris Rec Netral (%),8:1:1 Rec Netral (%),Diagnosa Ketahanan
1,LSTM Baseline,Natural Baseline,61.56,55.05,51.24,44.32,28.81,0.33,Total Majority Collapse (Netral < 1%)
2,LSTM Class Weight,Cost-Sensitive Loss,64.6,55.05,61.0,55.69,40.4,25.17,Sangat Tangguh; Penalti loss mencegah collapse
3,LSTM ROS,Random Over-Sampling,64.89,55.05,62.64,59.31,48.68,36.42,Penyelamat Terbaik LSTM pada Rasio 8:1:1
4,LSTM RUS,Random Under-Sampling,52.72,53.64,52.0,43.98,56.62,0.0,Total Collapse akibat pemangkasan 80% data latih
5,LSTM SMOTE,Synthetic Sequence,57.37,55.05,47.41,37.12,43.71,9.93,Gagal akibat rusaknya semantik token diskrit
6,IndoBERTweet-LoRA,Vanilla LoRA Adapter,73.9,71.17,73.45,70.2,61.26,36.86,Kebal Collapse tanpa teknik resampling
7,TAPT IndoBERT-LoRA,Domain MLM + LoRA,74.61,72.85,75.12,71.95,52.65,39.5,JUARA KETAHANAN MUTLAK (Terkuat di seluruh rasio)
