id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
7716,near_duplicate,duplikat,"Bencana  banjir dan longsor di utara Sumatera menyebabkan banyak rumah warga  rusak hingga hanyut. Pemerintah menyiapkan hunian tetap (huntap) gratis  bagi korban yang kehilangan tempat tinggal.  Dirjen Kawasan  Permukiman Kementerian Perumahan dan Kawasan Permukiman (PKP),",2026-01-12,452,0.9432,Kemiripan 94% dengan id 452
7861,near_duplicate,duplikat,"Bupati Aceh Utara, Ismail A Jalil, yang akrab disapa Ayahwa, melaporkan bahwa korban jiwa akibat banjir di wilayahnya mencapai 215 orang, dengan enam lainnya masih hilang.   Angka ini merupakan yang tertinggi di antara wilayah lain di Sumatera Utara, Sumatera Barat, dan Aceh.",2025-12-30,599,0.9716,Kemiripan 97% dengan id 599
7929,near_duplicate,duplikat,"Ribuan keluarga korban banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat memilih bertahan di luar hunian sementara dengan menerima Dana Tunggu Hunian (DTH) dari pemerintah.  Badan Nasional Penanggulangan Bencana (BNPB) mencatat, hingga kini sebanyak 16.264 kepala",2025-12-30,600,0.9672,Kemiripan 97% dengan id 600
7867,near_duplicate,duplikat,"Menteri Dalam  Negeri (Mendagri), Tito Karnavian, mengungkapkan sebanyak 22 desa  hilang tersapu banjir bandang dan tanah longsor di Aceh, Sumatera Utara,  dan Sumatera Barat.  ""Data kami menunjukkan bahwa ada desa yang  hilang itu totalnya 22. Di Aceh ada 13 hilang, tersapu. Di",2025-12-30,607,0.9586,Kemiripan 96% dengan id 607
7868,near_duplicate,duplikat,"Menteri Dalam Negeri (Mendagri) Tito Karnavian mengungkapkan, Sumatera Utara (Sumut) menjadi wilayah yang cepat pulih pasca-bencana banjir bandang dan tanah longsor. Sementara wilayah yang paling berat adalah Aceh Tamiang, sebab di wilayah tersebut layanan pemerintahan belum",2025-12-30,608,0.9597,Kemiripan 96% dengan id 608
7869,near_duplicate,duplikat,"Kapolri Jenderal Listyo Sigit Prabowo menyatakan Polri membuka layanan servis dan cuci motor gratis bagi warga terdampak bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat.  Layanan tersebut disiapkan agar kendaraan roda dua milik warga yang sempat rusak",2025-12-30,609,0.9579,Kemiripan 96% dengan id 609
7734,near_duplicate,duplikat,"Banjir Sumatera masih menyisakan duka.  Layanan Dukungan Psikososial (LDP) Anak dan Keluarga hadir di Malalo dan Nagari Sumpur, Batipuah Selatan, Tanah Datar sebagai safe space buat anak dan keluarga.  Anak bisa main, cerita dan berekspresi dengan nyaman, sementara orang tua",2026-01-12,617,0.939,Kemiripan 94% dengan id 617
7746,near_duplicate,duplikat,"potret Pendidikan yang Hanyut, di mana narasi besar soal Sekolah Rakyat dan Makan Bergizi Gratis di Jakarta terasa seperti ejekan bagi belasan ribu pelajar di Aceh yg jangankan makan siang, meja untuk belajarnya saja mungkin sudah jadi kayu bakar di tengah banjir.",2026-01-13,662,0.9575,Kemiripan 96% dengan id 662
7780,near_duplicate,duplikat,"Banjir cepet surut goblok, lu ga tau kampungan gua Cengkareng waktu awal 2020 3 hari 3 malem ga surut Aer mati listrik mati anjing 3 hari 3 malem loh ini mana barang elektronik pada abis boro boro ada bantuan ngentod",2026-01-13,663,0.9586,Kemiripan 96% dengan id 663
7783,near_duplicate,duplikat,"Setelah Gudang Timbunan Bantuan Banjir Digerebek Anggota Dewan, Puluhan Petugas BPBD Demo DPRK Bireun",2026-01-13,714,0.9385,Kemiripan 94% dengan id 714
