ID Model,Strategi Model,Accuracy (%),Macro F1 (%),Macro Precision (%),Macro Recall (%),Recall Netral (%),F1 Netral (%)
01_lstm_vanilla,LSTM Natural Baseline,73.06,58.53,64.88,60.84,11.92,19.25
02_lstm_class_weight,LSTM Class Weighting,71.04,65.82,65.19,67.06,47.68,45.5
03_lstm_random_oversampling,LSTM Random Oversampling (ROS),71.33,67.39,66.65,68.88,58.94,51.97
04_lstm_random_undersampling,LSTM Random Undersampling (RUS),64.86,56.06,55.51,56.95,21.19,22.34
05_lstm_smote,LSTM SMOTE Sequences,64.39,57.82,57.4,58.96,32.78,31.99
06_indobert_lora,IndoBERTweet-LoRA Vanilla (Argmax),78.61,73.27,73.94,72.86,51.99,56.07
