epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.7713167219112317,1.0247083612949173,0.6417708333333333,0.5578034682080925,0.6413973622019489,0.5376910705884415
2,0.28478781344369053,1.2573634255139126,0.9033333333333333,0.619942196531792,0.9027016295965669,0.5556225593098749
3,0.12063291900791227,1.5321006072049885,0.9657291666666666,0.6286127167630058,0.9655146848400671,0.5668286858792779
4,0.059696972939030576,1.6766514006377644,0.9833333333333333,0.6083815028901735,0.9832786084358226,0.5676380770772016
