epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.054357141304016,1.0180329298008384,0.5434,0.5895953757225434,0.4097705647096948,0.47013321172840433
2,0.8509851177215576,1.0107880227827613,0.7016,0.6329479768786127,0.5945403317671994,0.5648416563048363
3,0.6831363525390625,1.0202160791165567,0.7486,0.6286127167630058,0.6748941111822703,0.5687158880150031
4,0.5350415372133255,1.1541693706732954,0.8102,0.6170520231213873,0.7520548841320127,0.575102768904459
5,0.4132138216257095,1.2997011928200033,0.8462,0.6286127167630058,0.8009459195513386,0.5779546381243629
