epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.0568906486511231,1.0126464439265301,0.4836,0.6286127167630058,0.4091425778468607,0.5016156289056274
2,0.8591509462356567,0.9924829805517472,0.6876,0.6286127167630058,0.5847259063704671,0.5600218969643934
3,0.6984405824661255,0.9585865742898401,0.7314,0.619942196531792,0.664004356382097,0.5728157645692438
4,0.5593640514850616,0.9854878838351696,0.7862,0.6184971098265896,0.7279446292284707,0.5856666230727873
5,0.44418170671463014,1.2843106544948037,0.8224,0.684971098265896,0.7732126949442613,0.6066716086896422
6,0.3263237813591957,1.351331474980867,0.8768,0.6921965317919075,0.8407756166215209,0.6104773002132321
